productId,productName,category,subcategory,brand,description,price,discountPercentage,finalPrice,averageRating,reviewCount,stockQuantity,inStock,color,size,viewCount,purchaseCount,wishlistCount,isPrimeEligible
PROD0000036,Elite Furniture 849,Home_Kitchen,Furniture,Bosch,High-quality Home_Kitchen product. Furniture with excellent features for daily use.,3170.21,10,2853.19,4.1,51,50,True,Red,M,236,32,4,True
PROD0000037,Premium Yoga 838,Sports_Fitness,Yoga,Nike,High-quality Sports_Fitness product. Yoga with excellent features for daily use.,1248.27,30,873.79,4.4,7,0,False,NA,XL,187,26,1,False
PROD0000038,Elite Cameras 772,Electronics,Cameras,Apple,High-quality Electronics product. Cameras with excellent features for daily use.,6559.18,30,4591.43,4.1,26,100,True,White,NA,39,45,45,False
PROD0000039,Classic Womens Wear 878,Fashion,Womens_Wear,Zara,High-quality Fashion product. Womens Wear with excellent features for daily use.,690.72,0,690.72,4.2,62,10,True,Multi,L,577,19,6,True
PROD0000040,Premium Non Fiction 594,Books,Non_Fiction,HarperCollins,High-quality Books product. Non Fiction with excellent features for daily use.,362.42,20,289.94,3.7,68,500,True,Multi,L,141,22,20,True
PROD0000041,Smart Cameras 972,Electronics,Cameras,Apple,High-quality Electronics product. Cameras with excellent features for daily use.,2326.11,10,2093.5,3.9,17,500,True,Red,M,109,36,2,True
PROD0000042,Pro Educational 179,Books,Educational,HarperCollins,High-quality Books product. Educational with excellent features for daily use.,399.75,10,359.78,3.6,2,50,True,Blue,NA,487,23,10,True
PROD0000043,Smart Mens Wear 289,Fashion,Mens_Wear,Adidas,High-quality Fashion product. Mens Wear with excellent features for daily use.,1520.25,0,1520.25,2.8,48,500,True,White,S,196,12,46,True
PROD0000044,Elite Mens Wear 433,Fashion,Mens_Wear,Levis,High-quality Fashion product. Mens Wear with excellent features for daily use.,6468.95,0,6468.95,3.8,46,500,True,White,M,155,31,1,False
PROD0000045,Pro Headphones 233,Electronics,Headphones,Sony,High-quality Electronics product. Headphones with excellent features for daily use.,1199.95,0,1199.95,1.9,27,50,True,Multi,XL,15,12,6,True
PROD0000046,Smart Mens Wear 944,Fashion,Mens_Wear,Adidas,High-quality Fashion product. Mens Wear with excellent features for daily use.,230.26,30,161.18,4.8,5,0,False,White,NA,455,10,3,True
PROD0000047,Classic Yoga 414,Sports_Fitness,Yoga,Decathlon,High-quality Sports_Fitness product. Yoga with excellent features for daily use.,2120.84,0,2120.84,3.2,50,0,False,Blue,XL,84,86,12,False
PROD0000048,Smart Footwear 255,Fashion,Footwear,Adidas,High-quality Fashion product. Footwear with excellent features for daily use.,1191.72,10,1072.55,3.5,135,0,False,Multi,L,194,6,19,True
PROD0000049,Smart Educational 184,Books,Educational,HarperCollins,High-quality Books product. Educational with excellent features for daily use.,1356.93,0,1356.93,4.6,6,10,True,NA,XL,15,1,19,True
PROD0000050,Classic Non Fiction 224,Books,Non_Fiction,HarperCollins,High-quality Books product. Non Fiction with excellent features for daily use.,3188.0,20,2550.4,4.6,110,100,True,Multi,L,148,45,0,True
PROD0000051,Modern Fiction 109,Books,Fiction,HarperCollins,High-quality Books product. Fiction with excellent features for daily use.,17169.51,0,17169.51,3.0,9,100,True,Multi,NA,107,80,2,False
PROD0000052,Smart Fiction 828,Books,Fiction,Penguin,High-quality Books product. Fiction with excellent features for daily use.,1390.57,0,1390.57,2.5,24,50,True,Red,L,175,62,4,True
PROD0000053,Premium Yoga 531,Sports_Fitness,Yoga,Decathlon,High-quality Sports_Fitness product. Yoga with excellent features for daily use.,321.16,10,289.04,4.5,78,10,True,Blue,XL,15,4,25,False
PROD0000054,Pro Decor 100,Home_Kitchen,Decor,Bosch,High-quality Home_Kitchen product. Decor with excellent features for daily use.,1516.41,10,1364.77,2.9,35,50,True,White,S,149,128,2,True
PROD0000055,Premium Cameras 255,Electronics,Cameras,OnePlus,High-quality Electronics product. Cameras with excellent features for daily use.,352.96,0,352.96,4.0,65,0,False,Blue,NA,35,28,5,False
PROD0000056,Modern Educational 408,Books,Educational,HarperCollins,High-quality Books product. Educational with excellent features for daily use.,1473.1,30,1031.17,1.1,45,100,True,White,XL,162,7,32,True
PROD0000057,Modern Footwear 880,Fashion,Footwear,Adidas,High-quality Fashion product. Footwear with excellent features for daily use.,12713.24,10,11441.92,2.3,19,0,False,Blue,M,388,0,3,True
PROD0000058,Smart Fiction 253,Books,Fiction,HarperCollins,High-quality Books product. Fiction with excellent features for daily use.,1107.19,10,996.47,4.5,0,0,False,Red,S,38,18,1,True
PROD0000059,Elite Mens Wear 527,Fashion,Mens_Wear,Nike,High-quality Fashion product. Mens Wear with excellent features for daily use.,189.62,0,189.62,2.7,26,10,True,NA,XL,158,19,8,True
PROD0000060,Elite Mens Wear 905,Fashion,Mens_Wear,Adidas,High-quality Fashion product. Mens Wear with excellent features for daily use.,32765.43,0,32765.43,3.1,1,0,False,Multi,XL,525,169,32,False
PROD0000061,Premium Educational 754,Books,Educational,Penguin,High-quality Books product. Educational with excellent features for daily use.,861.07,10,774.96,2.0,55,50,True,Black,NA,30,68,54,True
PROD0000062,Premium Yoga 413,Sports_Fitness,Yoga,Reebok,High-quality Sports_Fitness product. Yoga with excellent features for daily use.,13000.15,20,10400.12,4.8,40,100,True,Black,L,349,35,39,True
PROD0000063,Pro Mens Wear 174,Fashion,Mens_Wear,Zara,High-quality Fashion product. Mens Wear with excellent features for daily use.,320.23,30,224.16,4.5,22,100,True,Black,NA,2,0,4,True
PROD0000064,Pro Accessories 838,Fashion,Accessories,Zara,High-quality Fashion product. Accessories with excellent features for daily use.,21632.34,30,15142.64,4.0,112,50,True,Black,L,77,21,17,True
PROD0000065,Elite Educational 512,Books,Educational,HarperCollins,High-quality Books product. Educational with excellent features for daily use.,449.97,30,314.98,2.1,25,0,False,Blue,L,698,62,44,True
PROD0000066,Modern Mens Wear 444,Fashion,Mens_Wear,Nike,High-quality Fashion product. Mens Wear with excellent features for daily use.,5810.59,10,5229.53,2.9,29,500,True,Red,M,128,31,15,False
PROD0000067,Premium Footwear 196,Fashion,Footwear,Levis,High-quality Fashion product. Footwear with excellent features for daily use.,50777.19,0,50777.19,3.4,43,0,False,Blue,M,246,26,1,True
PROD0000068,Modern Fiction 729,Books,Fiction,HarperCollins,High-quality Books product. Fiction with excellent features for daily use.,5745.72,0,5745.72,3.5,7,50,True,Black,XL,359,44,12,False
PROD0000069,Modern Non Fiction 511,Books,Non_Fiction,Penguin,High-quality Books product. Non Fiction with excellent features for daily use.,1045.69,20,836.55,4.6,1,50,True,Blue,NA,207,76,30,False
PROD0000070,Smart Headphones 389,Electronics,Headphones,Samsung,High-quality Electronics product. Headphones with excellent features for daily use.,4646.45,20,3717.16,4.1,106,50,True,Multi,NA,392,38,12,False
PROD0000071,Elite Yoga 391,Sports_Fitness,Yoga,Decathlon,High-quality Sports_Fitness product. Yoga with excellent features for daily use.,52.93,0,52.93,4.7,52,10,True,Blue,M,15,17,3,True
PROD0000072,Smart Outdoor 920,Sports_Fitness,Outdoor,Decathlon,High-quality Sports_Fitness product. Outdoor with excellent features for daily use.,2716.34,30,1901.44,1.5,21,100,True,Blue,M,411,4,3,True
PROD0000073,Pro Womens Wear 166,Fashion,Womens_Wear,Nike,High-quality Fashion product. Womens Wear with excellent features for daily use.,611.11,20,488.89,3.6,14,500,True,NA,S,18,38,5,True
PROD0000074,Premium Yoga 800,Sports_Fitness,Yoga,Reebok,High-quality Sports_Fitness product. Yoga with excellent features for daily use.,856.8,20,685.44,4.3,2,100,True,White,L,301,20,97,True
PROD0000075,Smart Womens Wear 437,Fashion,Womens_Wear,Adidas,High-quality Fashion product. Womens Wear with excellent features for daily use.,2754.43,20,2203.54,2.9,15,0,False,NA,L,24,54,67,True
PROD0000076,Pro Tablets 143,Electronics,Tablets,Apple,High-quality Electronics product. Tablets with excellent features for daily use.,1944.36,30,1361.05,3.5,113,500,True,NA,L,420,24,5,True
PROD0000077,Classic Educational 642,Books,Educational,Penguin,High-quality Books product. Educational with excellent features for daily use.,5137.07,10,4623.36,4.5,110,0,False,NA,NA,187,17,38,True
PROD0000078,Modern Educational 126,Books,Educational,HarperCollins,High-quality Books product. Educational with excellent features for daily use.,850.75,20,680.6,3.4,49,500,True,NA,S,142,28,15,True
PROD0000079,Smart Non Fiction 936,Books,Non_Fiction,Penguin,High-quality Books product. Non Fiction with excellent features for daily use.,2297.79,0,2297.79,4.5,9,500,True,White,L,12,7,9,True
PROD0000080,Pro Gym Equipment 129,Sports_Fitness,Gym_Equipment,Reebok,High-quality Sports_Fitness product. Gym Equipment with excellent features for daily use.,216.9,0,216.9,3.3,18,500,True,Black,S,91,6,5,False
PROD0000081,Smart Tablets 467,Electronics,Tablets,Apple,High-quality Electronics product. Tablets with excellent features for daily use.,1059.65,20,847.72,5.0,22,500,True,Black,S,311,0,4,True
PROD0000082,Pro Gym Equipment 485,Sports_Fitness,Gym_Equipment,Nike,High-quality Sports_Fitness product. Gym Equipment with excellent features for daily use.,9471.96,30,6630.37,2.9,54,100,True,Blue,M,922,58,23,True
PROD0000083,Smart Yoga 176,Sports_Fitness,Yoga,Nike,High-quality Sports_Fitness product. Yoga with excellent features for daily use.,522.35,30,365.64,3.8,17,0,False,White,S,343,17,13,False
PROD0000084,Classic Smartphones 513,Electronics,Smartphones,OnePlus,High-quality Electronics product. Smartphones with excellent features for daily use.,6073.58,20,4858.86,2.2,50,500,True,NA,L,305,17,1,True
PROD0000085,Premium Smartphones 878,Electronics,Smartphones,Apple,High-quality Electronics product. Smartphones with excellent features for daily use.,320.46,10,288.41,3.3,23,50,True,Multi,M,144,20,3,True
PROD0000086,Modern Laptops 943,Electronics,Laptops,OnePlus,High-quality Electronics product. Laptops with excellent features for daily use.,31826.92,30,22278.84,2.4,2,0,False,Multi,NA,22,0,44,True
PROD0000087,Classic Cameras 202,Electronics,Cameras,Apple,High-quality Electronics product. Cameras with excellent features for daily use.,23915.11,0,23915.11,4.7,149,50,True,Multi,XL,90,44,2,True
PROD0000088,Modern Non Fiction 891,Books,Non_Fiction,HarperCollins,High-quality Books product. Non Fiction with excellent features for daily use.,1102.16,20,881.73,3.6,79,100,True,Black,NA,317,60,7,False
PROD0000089,Premium Appliances 612,Home_Kitchen,Appliances,Bosch,High-quality Home_Kitchen product. Appliances with excellent features for daily use.,5685.88,20,4548.7,3.3,69,10,True,Multi,M,5,10,35,False
PROD0000090,Premium Appliances 145,Home_Kitchen,Appliances,Bosch,High-quality Home_Kitchen product. Appliances with excellent features for daily use.,3978.14,10,3580.33,2.5,21,100,True,White,M,66,12,12,True
PROD0000091,Classic Tablets 259,Electronics,Tablets,OnePlus,High-quality Electronics product. Tablets with excellent features for daily use.,311.09,0,311.09,4.6,3,500,True,Blue,NA,748,7,64,False
PROD0000092,Premium Decor 795,Home_Kitchen,Decor,Philips,High-quality Home_Kitchen product. Decor with excellent features for daily use.,2597.44,20,2077.95,3.6,9,10,True,Red,M,0,6,77,False
PROD0000093,Premium Bedding 363,Home_Kitchen,Bedding,IKEA,High-quality Home_Kitchen product. Bedding with excellent features for daily use.,3019.23,0,3019.23,4.1,64,500,True,White,L,56,48,4,True
PROD0000094,Modern Laptops 307,Electronics,Laptops,Apple,High-quality Electronics product. Laptops with excellent features for daily use.,506.3,30,354.41,3.2,39,100,True,NA,NA,125,7,28,False
PROD0000095,Elite Furniture 993,Home_Kitchen,Furniture,Philips,High-quality Home_Kitchen product. Furniture with excellent features for daily use.,1702.78,0,1702.78,3.9,21,500,True,NA,NA,38,6,156,True
PROD0000096,Smart Gym Equipment 442,Sports_Fitness,Gym_Equipment,Decathlon,High-quality Sports_Fitness product. Gym Equipment with excellent features for daily use.,3037.01,10,2733.31,3.9,40,0,False,Blue,NA,92,19,2,True
PROD0000097,Pro Womens Wear 532,Fashion,Womens_Wear,Adidas,High-quality Fashion product. Womens Wear with excellent features for daily use.,210.64,10,189.58,2.9,17,0,False,Black,S,76,25,18,True
PROD0000098,Smart Mens Wear 800,Fashion,Mens_Wear,Nike,High-quality Fashion product. Mens Wear with excellent features for daily use.,2161.89,0,2161.89,2.4,43,50,True,Blue,L,101,15,44,False
PROD0000099,Premium Smartphones 940,Electronics,Smartphones,Apple,High-quality Electronics product. Smartphones with excellent features for daily use.,1758.93,10,1583.04,2.8,1,50,True,Multi,XL,74,4,13,True
PROD0000100,Classic Fiction 284,Books,Fiction,Penguin,High-quality Books product. Fiction with excellent features for daily use.,2075.75,10,1868.18,2.6,67,50,True,Multi,S,532,13,15,True
PROD0000101,Modern Tablets 660,Electronics,Tablets,Samsung,High-quality Electronics product. Tablets with excellent features for daily use.,15298.57,30,10709.0,1.8,13,50,True,White,XL,52,41,15,True
PROD0000102,Pro Educational 579,Books,Educational,Penguin,High-quality Books product. Educational with excellent features for daily use.,227.37,20,181.9,3.6,44,0,False,Red,S,167,12,24,True
PROD0000103,Smart Footwear 816,Fashion,Footwear,Zara,High-quality Fashion product. Footwear with excellent features for daily use.,2983.13,20,2386.5,4.4,34,500,True,Multi,XL,44,12,21,True
PROD0000104,Pro Laptops 375,Electronics,Laptops,Apple,High-quality Electronics product. Laptops with excellent features for daily use.,828.79,30,580.15,4.5,38,10,True,NA,XL,376,9,39,True
PROD0000105,Elite Yoga 261,Sports_Fitness,Yoga,Decathlon,High-quality Sports_Fitness product. Yoga with excellent features for daily use.,844.53,10,760.08,4.8,83,10,True,NA,NA,56,10,34,True
PROD0000106,Classic Bedding 522,Home_Kitchen,Bedding,IKEA,High-quality Home_Kitchen product. Bedding with excellent features for daily use.,932.02,0,932.02,4.5,42,50,True,Red,S,893,51,1,False
PROD0000107,Elite Non Fiction 121,Books,Non_Fiction,HarperCollins,High-quality Books product. Non Fiction with excellent features for daily use.,8855.49,0,8855.49,4.7,34,0,False,Multi,NA,247,142,4,True
PROD0000108,Smart Appliances 751,Home_Kitchen,Appliances,IKEA,High-quality Home_Kitchen product. Appliances with excellent features for daily use.,12782.73,10,11504.46,3.4,265,10,True,White,M,151,17,19,False
PROD0000109,Pro Furniture 171,Home_Kitchen,Furniture,Bosch,High-quality Home_Kitchen product. Furniture with excellent features for daily use.,1935.39,0,1935.39,4.2,47,0,False,White,L,0,33,26,True
PROD0000110,Elite Headphones 544,Electronics,Headphones,Sony,High-quality Electronics product. Headphones with excellent features for daily use.,589.01,10,530.11,3.9,74,500,True,White,L,269,33,50,False
PROD0000111,Elite Bedding 412,Home_Kitchen,Bedding,Philips,High-quality Home_Kitchen product. Bedding with excellent features for daily use.,618.26,20,494.61,4.2,61,0,False,Blue,M,12,43,19,True
PROD0000112,Classic Outdoor 359,Sports_Fitness,Outdoor,Decathlon,High-quality Sports_Fitness product. Outdoor with excellent features for daily use.,6405.0,0,6405.0,3.8,38,10,True,Red,NA,271,8,0,True
PROD0000113,Pro Furniture 759,Home_Kitchen,Furniture,Bosch,High-quality Home_Kitchen product. Furniture with excellent features for daily use.,1453.72,30,1017.6,2.9,20,50,True,Black,XL,338,14,8,False
PROD0000114,Classic Smartphones 561,Electronics,Smartphones,Samsung,High-quality Electronics product. Smartphones with excellent features for daily use.,951.74,0,951.74,3.0,12,0,False,Black,S,398,7,51,True
PROD0000115,Smart Outdoor 759,Sports_Fitness,Outdoor,Decathlon,High-quality Sports_Fitness product. Outdoor with excellent features for daily use.,1609.75,20,1287.8,4.2,160,500,True,Black,M,138,39,4,True
PROD0000116,Classic Footwear 339,Fashion,Footwear,Nike,High-quality Fashion product. Footwear with excellent features for daily use.,7510.43,10,6759.39,2.1,11,50,True,White,M,665,8,36,True
PROD0000117,Smart Appliances 870,Home_Kitchen,Appliances,IKEA,High-quality Home_Kitchen product. Appliances with excellent features for daily use.,18520.56,30,12964.39,4.3,186,50,True,Black,S,139,9,11,False
PROD0000118,Smart Laptops 988,Electronics,Laptops,OnePlus,High-quality Electronics product. Laptops with excellent features for daily use.,166.61,30,116.63,3.7,241,500,True,Blue,NA,381,82,1,True
PROD0000119,Elite Womens Wear 142,Fashion,Womens_Wear,Zara,High-quality Fashion product. Womens Wear with excellent features for daily use.,195.78,10,176.2,4.4,42,50,True,Black,S,162,2,0,True
PROD0000120,Premium Womens Wear 718,Fashion,Womens_Wear,Levis,High-quality Fashion product. Womens Wear with excellent features for daily use.,1516.47,20,1213.18,4.5,30,0,False,Red,S,32,6,7,True
PROD0000121,Modern Non Fiction 502,Books,Non_Fiction,Penguin,High-quality Books product. Non Fiction with excellent features for daily use.,767.16,20,613.73,4.2,86,500,True,NA,NA,31,33,12,False
PROD0000122,Classic Gym Equipment 603,Sports_Fitness,Gym_Equipment,Reebok,High-quality Sports_Fitness product. Gym Equipment with excellent features for daily use.,1473.51,0,1473.51,2.8,30,50,True,Red,NA,701,39,33,False
PROD0000123,Elite Furniture 912,Home_Kitchen,Furniture,IKEA,High-quality Home_Kitchen product. Furniture with excellent features for daily use.,218.42,0,218.42,1.6,36,0,False,NA,XL,435,70,5,True
PROD0000124,Modern Cameras 561,Electronics,Cameras,Samsung,High-quality Electronics product. Cameras with excellent features for daily use.,421.04,20,336.83,4.2,31,100,True,Blue,L,82,23,27,True
PROD0000125,Modern Fiction 254,Books,Fiction,Penguin,High-quality Books product. Fiction with excellent features for daily use.,1552.41,10,1397.17,4.6,21,50,True,Black,S,61,26,9,True
PROD0000126,Modern Gym Equipment 809,Sports_Fitness,Gym_Equipment,Reebok,High-quality Sports_Fitness product. Gym Equipment with excellent features for daily use.,5794.88,30,4056.42,2.8,76,50,True,Black,L,70,26,59,True
PROD0000127,Smart Non Fiction 564,Books,Non_Fiction,HarperCollins,High-quality Books product. Non Fiction with excellent features for daily use.,1621.69,0,1621.69,4.3,18,0,False,Blue,S,203,3,16,False
PROD0000128,Pro Gym Equipment 854,Sports_Fitness,Gym_Equipment,Reebok,High-quality Sports_Fitness product. Gym Equipment with excellent features for daily use.,1542.4,30,1079.68,4.5,42,100,True,Blue,NA,266,2,2,True
PROD0000129,Elite Gym Equipment 912,Sports_Fitness,Gym_Equipment,Nike,High-quality Sports_Fitness product. Gym Equipment with excellent features for daily use.,969.18,30,678.43,2.5,1,50,True,Black,XL,217,4,27,True
PROD0000130,Modern Bedding 624,Home_Kitchen,Bedding,IKEA,High-quality Home_Kitchen product. Bedding with excellent features for daily use.,2931.85,20,2345.48,3.8,78,500,True,White,XL,0,12,1,True
PROD0000131,Modern Outdoor 343,Sports_Fitness,Outdoor,Reebok,High-quality Sports_Fitness product. Outdoor with excellent features for daily use.,417.63,10,375.87,4.2,117,100,True,Blue,S,63,0,0,True
PROD0000132,Elite Non Fiction 284,Books,Non_Fiction,HarperCollins,High-quality Books product. Non Fiction with excellent features for daily use.,2418.66,0,2418.66,3.8,19,500,True,NA,XL,260,24,20,True
PROD0000133,Smart Outdoor 503,Sports_Fitness,Outdoor,Decathlon,High-quality Sports_Fitness product. Outdoor with excellent features for daily use.,356.03,20,284.82,4.3,14,500,True,White,NA,83,6,15,True
PROD0000134,Elite Bedding 634,Home_Kitchen,Bedding,IKEA,High-quality Home_Kitchen product. Bedding with excellent features for daily use.,1699.41,20,1359.53,2.4,12,10,True,Blue,S,65,11,3,False
PROD0000135,Premium Appliances 252,Home_Kitchen,Appliances,Philips,High-quality Home_Kitchen product. Appliances with excellent features for daily use.,3887.65,0,3887.65,3.1,20,0,False,Black,NA,438,1,11,True
PROD0000136,Premium Fiction 608,Books,Fiction,Penguin,High-quality Books product. Fiction with excellent features for daily use.,1364.69,20,1091.75,4.4,27,10,True,NA,M,258,2,59,True
PROD0000137,Smart Mens Wear 396,Fashion,Mens_Wear,Levis,High-quality Fashion product. Mens Wear with excellent features for daily use.,449.66,10,404.69,3.6,14,50,True,Red,L,50,1,1,True
PROD0000138,Elite Mens Wear 563,Fashion,Mens_Wear,Nike,High-quality Fashion product. Mens Wear with excellent features for daily use.,48.1,20,38.48,3.3,10,50,True,NA,XL,249,104,6,True
PROD0000139,Classic Yoga 425,Sports_Fitness,Yoga,Reebok,High-quality Sports_Fitness product. Yoga with excellent features for daily use.,573.02,30,401.11,3.3,8,100,True,Black,XL,125,93,13,True
PROD0000140,Classic Cameras 465,Electronics,Cameras,Apple,High-quality Electronics product. Cameras with excellent features for daily use.,709.76,30,496.83,3.2,78,50,True,Blue,M,263,32,0,True
PROD0000141,Smart Gym Equipment 931,Sports_Fitness,Gym_Equipment,Decathlon,High-quality Sports_Fitness product. Gym Equipment with excellent features for daily use.,4102.4,10,3692.16,2.7,7,10,True,NA,L,75,97,2,True
PROD0000142,Premium Fiction 453,Books,Fiction,Penguin,High-quality Books product. Fiction with excellent features for daily use.,13620.24,30,9534.17,2.4,9,50,True,NA,XL,237,68,11,True
